epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3545,1.73229,8.23129,0.02166,0.00333,1,0.32632,0.22731,0.85364,9.29275,0.01508,0.00032,0.00032,0.00032
2,20.6103,1.15991,6.4737,0.01002,0.00322,0.96552,0.2276,0.14264,1.24908,9.67916,0.0236,0.000653466,0.000653466,0.000653466
3,28.5345,1.27525,5.81349,0.01098,0.00305,0.91379,0.22425,0.13342,1.24065,9.58024,0.02449,0.0009802,0.0009802,0.0009802
4,31.8056,1.25891,5.35757,0.01192,0.36636,0.41379,0.37212,0.2259,1.32835,9.33372,0.0243,0.0013002,0.0013002,0.0013002
5,34.9741,1.24753,4.91955,0.01213,0.41876,0.39655,0.40484,0.25797,1.21526,8.70619,0.01702,0.00161347,0.00161347,0.00161347
6,41.4112,1.28294,4.65179,0.01285,0.34102,0.46552,0.39743,0.17686,1.34995,8.32256,0.02765,0.001901,0.001901,0.001901
7,44.6894,1.41283,4.36417,0.01513,0.41316,0.44828,0.43125,0.21649,1.59045,7.0838,0.03042,0.0018812,0.0018812,0.0018812
8,47.927,1.36996,3.90199,0.01351,0.54626,0.53448,0.57218,0.28789,1.53626,5.34032,0.02434,0.0018614,0.0018614,0.0018614
9,51.2053,1.32115,3.65213,0.01216,0.58457,0.58621,0.57135,0.301,1.64475,3.70022,0.0272,0.0018416,0.0018416,0.0018416
10,54.4301,1.3684,3.37973,0.01252,0.5466,0.53448,0.57524,0.36061,1.32081,2.8443,0.02198,0.0018218,0.0018218,0.0018218
11,57.6981,1.42008,3.43199,0.01453,0.48493,0.75862,0.64236,0.34273,1.221,2.61884,0.02208,0.001802,0.001802,0.001802
12,60.9228,1.2794,3.11754,0.01167,0.86788,0.56634,0.7535,0.41922,1.65079,2.62812,0.03001,0.0017822,0.0017822,0.0017822
13,64.125,1.40702,2.85231,0.01251,0.69544,0.63,0.7055,0.43912,1.31094,2.64849,0.02104,0.0017624,0.0017624,0.0017624
14,67.3616,1.2761,2.69391,0.01163,0.65478,0.81759,0.7776,0.51795,1.19962,2.49933,0.01797,0.0017426,0.0017426,0.0017426
15,70.5255,1.33263,2.5282,0.00965,0.71936,0.67241,0.76839,0.59353,1.03538,2.0521,0.01432,0.0017228,0.0017228,0.0017228
16,73.8413,1.21972,2.2637,0.00982,0.63463,0.7069,0.77997,0.57387,1.01858,1.84914,0.01435,0.001703,0.001703,0.001703
17,77.0611,1.3861,2.20845,0.01174,0.66714,0.79481,0.82338,0.46584,1.55797,1.69941,0.02544,0.0016832,0.0016832,0.0016832
18,80.3382,1.24443,2.05355,0.01111,0.54965,0.86278,0.77117,0.48634,1.19269,1.5541,0.01677,0.0016634,0.0016634,0.0016634
19,83.6561,1.26254,1.98365,0.01048,0.59835,0.77059,0.77857,0.5457,1.15845,1.34117,0.01684,0.0016436,0.0016436,0.0016436
20,86.9178,1.37462,1.83764,0.01239,0.69881,0.77586,0.83382,0.53038,1.30044,1.20193,0.02455,0.0016238,0.0016238,0.0016238
21,90.2118,1.25433,1.80998,0.01109,0.68894,0.72414,0.81718,0.54281,1.29624,1.16398,0.01786,0.001604,0.001604,0.001604
22,93.4632,1.2811,1.67412,0.00973,0.69624,0.68966,0.78615,0.55985,1.18817,1.04602,0.01924,0.0015842,0.0015842,0.0015842
23,96.7338,1.35968,1.67316,0.01236,0.751,0.78006,0.85136,0.59481,1.08836,1.02672,0.01459,0.0015644,0.0015644,0.0015644
24,99.9237,1.21466,1.49421,0.00981,0.82577,0.65375,0.83128,0.55857,1.1369,1.08212,0.02382,0.0015446,0.0015446,0.0015446
25,103.148,1.12847,1.43649,0.01015,0.89919,0.76903,0.92446,0.67616,1.10324,0.80568,0.01925,0.0015248,0.0015248,0.0015248
26,106.312,1.1526,1.34272,0.00991,0.82022,0.78668,0.89064,0.58545,1.2518,0.84183,0.01669,0.001505,0.001505,0.001505
27,109.536,1.15592,1.28046,0.00931,0.91892,0.7931,0.92784,0.64803,1.06951,0.7734,0.01454,0.0014852,0.0014852,0.0014852
28,112.773,1.10616,1.241,0.00827,0.83261,0.85768,0.94607,0.68837,1.10278,0.69317,0.01762,0.0014654,0.0014654,0.0014654
29,116.126,1.18456,1.21181,0.00866,0.954,0.84483,0.94998,0.72778,0.95205,0.6281,0.01401,0.0014456,0.0014456,0.0014456
30,119.321,1.0762,1.15992,0.00788,0.86089,0.86207,0.93142,0.70116,1.00458,0.68375,0.01459,0.0014258,0.0014258,0.0014258
31,122.578,1.12146,1.21483,0.00806,0.91503,0.86207,0.95642,0.75398,0.95622,0.63039,0.01411,0.001406,0.001406,0.001406
32,125.908,1.08866,1.11738,0.00799,0.89496,0.87931,0.95005,0.73384,0.95608,0.72121,0.01488,0.0013862,0.0013862,0.0013862
33,129.299,1.01901,0.99841,0.00696,0.84076,0.87931,0.95015,0.70319,1.09815,0.66475,0.01318,0.0013664,0.0013664,0.0013664
34,132.603,1.07898,0.98548,0.00756,0.89811,0.93103,0.96143,0.78879,0.84156,0.58993,0.0097,0.0013466,0.0013466,0.0013466
35,135.844,1.07882,0.96594,0.00728,0.89956,0.92651,0.96784,0.78878,0.82562,0.58897,0.01078,0.0013268,0.0013268,0.0013268
36,139.095,1.05076,0.91729,0.00813,0.96038,0.84483,0.96561,0.72793,0.97365,0.63839,0.01722,0.001307,0.001307,0.001307
37,142.39,0.92657,0.84524,0.0071,0.95428,0.82759,0.94506,0.76967,0.8328,0.61522,0.01248,0.0012872,0.0012872,0.0012872
38,145.643,1.01708,0.93355,0.00832,0.93209,0.94665,0.9647,0.72682,1.00966,0.65254,0.01644,0.0012674,0.0012674,0.0012674
39,148.981,0.95574,0.921,0.00774,0.80728,0.91379,0.94705,0.70679,0.95978,0.72493,0.0107,0.0012476,0.0012476,0.0012476
40,152.208,1.00893,0.826,0.00802,0.88407,0.84483,0.95113,0.73446,0.89944,0.67077,0.01511,0.0012278,0.0012278,0.0012278
41,155.514,0.99894,0.76356,0.00728,0.98673,0.75862,0.94726,0.65349,0.92194,0.69758,0.00961,0.001208,0.001208,0.001208
42,158.8,1.08788,0.80111,0.00729,0.86699,0.89655,0.96115,0.74502,0.88999,0.5617,0.01053,0.0011882,0.0011882,0.0011882
43,162.073,1.02004,0.78805,0.00837,0.8399,0.90454,0.96376,0.77156,0.84807,0.55775,0.01064,0.0011684,0.0011684,0.0011684
44,165.358,1.04667,0.7772,0.00791,0.85143,0.94828,0.95694,0.77564,0.87777,0.54265,0.01111,0.0011486,0.0011486,0.0011486
45,168.559,0.9321,0.79701,0.00654,0.94612,0.9084,0.96331,0.72086,0.93551,0.59451,0.01207,0.0011288,0.0011288,0.0011288
