path,label,warm_ratio,bright_ratio,edge_ratio,largest_blob_ratio,mean_saturation,mean_value,std_value,p90_value,p10_value,dark_ratio,high_saturation_ratio
data\datasets\bell_dataset\strike\frame_000040.jpg,1,0.44012369791666667,0.16411458333333334,0.005983072916666667,0.457666015625,80.20215494791667,135.45580078125,75.27966253045969,251.0,54.0,0.12105143229166666,0.27099283854166667
data\datasets\bell_dataset\strike\frame_000050.jpg,1,0.318193359375,0.26315104166666664,0.0018912760416666668,0.33819173177083334,68.301982421875,132.39791341145835,87.64213371299184,252.0,36.0,0.3145833333333333,0.09826497395833333
data\datasets\bell_dataset\strike\frame_000110.jpg,1,0.629560546875,0.34324544270833335,0.003727213541666667,0.6735823567708333,65.6820703125,170.81213216145832,63.448113402583665,252.0,84.0,0.011842447916666667,0.09651041666666667
data\datasets\bell_dataset\strike\frame_000180.jpg,1,0.21129231770833334,0.10960286458333333,0.007486979166666667,0.22402669270833334,54.17292643229167,133.34999348958334,71.15695467463223,251.0,57.0,0.09297200520833333,0.04568684895833333
data\datasets\bell_dataset\strike\frame_000190.jpg,1,0.3982845052083333,0.15345703125,0.005055338541666667,0.3956689453125,82.36009765625,120.95941080729166,73.4986215700657,250.0,45.0,0.21956705729166667,0.24868815104166667
data\datasets\bell_dataset\strike\frame_000200.jpg,1,0.6820247395833333,0.19626953125,0.004954427083333333,0.7095735677083334,94.55150390625,124.2953515625,71.46974156145228,247.0,40.0,0.210625,0.317314453125
data\datasets\bell_dataset\strike\frame_000210.jpg,1,0.8503483072916667,0.318408203125,0.0,0.8694091796875,76.67062825520833,142.22722005208334,64.0066588837802,239.0,54.0,0.10818684895833333,0.07666666666666666
data\datasets\bell_dataset\strike\frame_000290.jpg,1,0.562958984375,0.41168619791666666,0.0014127604166666668,0.5910791015625,52.755559895833336,188.95271158854166,62.3152556029696,252.0,88.0,0.0039713541666666664,0.024055989583333333
data\datasets\bell_dataset\strike\frame_000300.jpg,1,0.4397688802083333,0.13172526041666666,0.0022786458333333335,0.4512027994791667,76.59133463541667,111.770947265625,75.25260450452639,246.0,37.0,0.32674479166666665,0.08856119791666667
data\datasets\bell_dataset\strike\frame_000310.jpg,1,0.12263020833333334,0.06779622395833333,0.003987630208333333,0.12762044270833334,71.01703776041667,96.94713216145833,75.85277068259288,248.0,31.0,0.454482421875,0.039264322916666664
data\datasets\bell_dataset\strike\frame_000370.jpg,1,0.21932291666666667,0.079013671875,0.0062825520833333336,0.22102213541666665,59.187916666666666,125.834794921875,67.41069614926874,251.0,54.0,0.106669921875,0.058922526041666666
data\datasets\bell_dataset\strike\frame_000380.jpg,1,0.42254231770833334,0.16025065104166666,0.007041015625,0.4296826171875,78.642294921875,127.17248372395834,73.54009915420131,251.0,49.0,0.16752278645833332,0.21963216145833334
data\datasets\bell_dataset\strike\frame_000390.jpg,1,0.719775390625,0.24726236979166666,0.001357421875,0.733798828125,89.22137044270833,128.47357421875,70.30885799538764,245.0,45.0,0.186787109375,0.24824544270833335
data\datasets\bell_dataset\strike\frame_000400.jpg,1,0.739912109375,0.3192903645833333,0.0,0.7466373697916666,86.10848307291667,135.45142252604165,65.24265536465471,234.0,53.0,0.11209635416666666,0.176826171875
data\datasets\bell_dataset\strike\frame_000530.jpg,1,0.5842936197916667,0.3489680989583333,0.00189453125,0.6232535807291667,61.25922526041666,175.42478841145834,61.57228502598483,252.0,86.0,0.0027701822916666665,0.07013997395833334
data\datasets\bell_dataset\strike\frame_000540.jpg,1,0.11325520833333333,0.06829752604166667,0.0039453125,0.12008951822916666,71.16409830729167,99.66761393229167,75.98166144288888,250.0,34.0,0.43619140625,0.034085286458333336
data\datasets\bell_dataset\strike\frame_000570.jpg,1,0.38293619791666667,0.18345052083333332,0.004488932291666667,0.4045166015625,66.54707682291667,147.01630208333333,70.33924723573601,251.0,66.0,0.042425130208333335,0.128994140625
