epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0926,1.28632,2.19069,1.13235,0.79707,0.88932,0.92388,0.60157,1.21418,2.38913,1.06014,0.000659933,0.000659933,0.000659933
2,86.9085,1.28011,1.57662,1.09105,0.71641,0.79245,0.85533,0.49441,1.31102,1.52115,1.09917,0.00131347,0.00131347,0.00131347
3,128.584,1.2345,1.2257,1.0726,0.79126,0.81132,0.91413,0.57991,1.27945,1.14923,1.06644,0.0019538,0.0019538,0.0019538
4,169.474,1.24619,1.07046,1.06795,0.89314,0.83019,0.93161,0.61817,1.0793,1.15644,1.0129,0.0019406,0.0019406,0.0019406
5,205.121,1.20579,0.97675,1.053,0.95256,0.98113,0.98195,0.58051,1.11238,0.86622,1.01022,0.0019208,0.0019208,0.0019208
6,240.984,1.17092,0.90083,1.04331,0.86027,0.9717,0.9708,0.59773,1.08245,0.84466,1.06632,0.001901,0.001901,0.001901
7,278.247,1.18881,0.90494,1.05169,0.98057,0.95222,0.99111,0.74813,0.9173,0.70007,0.98819,0.0018812,0.0018812,0.0018812
8,314.722,1.08399,0.81945,1.0031,0.9419,0.96226,0.9873,0.73554,0.87694,0.67193,0.99519,0.0018614,0.0018614,0.0018614
9,351.132,1.06278,0.78268,0.99578,0.80427,0.88679,0.92876,0.7453,0.77883,0.74663,0.94588,0.0018416,0.0018416,0.0018416
10,387.703,1.06223,0.80247,0.99515,0.94433,0.96024,0.98186,0.71674,0.96043,0.70822,0.98559,0.0018218,0.0018218,0.0018218
11,427.883,1.02527,0.75294,0.98596,0.90936,0.94649,0.98284,0.77669,0.85089,0.63984,0.9694,0.001802,0.001802,0.001802
12,468.177,1.03161,0.74182,0.98779,0.99061,0.99474,0.99463,0.83332,0.67416,0.55038,0.93088,0.0017822,0.0017822,0.0017822
13,505.686,1.00629,0.71646,0.98007,0.98362,0.98113,0.99472,0.75424,0.9051,0.61672,0.95495,0.0017624,0.0017624,0.0017624
14,541.971,0.95782,0.70923,0.96941,0.99611,1,0.995,0.80691,0.77659,0.57783,0.93944,0.0017426,0.0017426,0.0017426
15,578.488,0.95401,0.71638,0.9732,0.98631,1,0.99154,0.80337,0.70356,0.55016,0.91772,0.0017228,0.0017228,0.0017228
16,616.949,0.96817,0.69715,0.96741,0.97698,1,0.99463,0.83942,0.69288,0.51246,0.92029,0.001703,0.001703,0.001703
17,654.439,0.94299,0.66987,0.94752,0.98146,0.99889,0.98037,0.81853,0.65185,0.52187,0.91358,0.0016832,0.0016832,0.0016832
18,690.3,0.92184,0.66184,0.95334,0.97217,0.98856,0.99377,0.81522,0.77437,0.49531,0.92308,0.0016634,0.0016634,0.0016634
19,729.354,0.92617,0.65174,0.95915,0.99239,0.99057,0.995,0.85876,0.64173,0.50428,0.91412,0.0016436,0.0016436,0.0016436
20,775.04,0.88052,0.63247,0.94816,0.95266,1,0.99343,0.8133,0.73782,0.50749,0.92681,0.0016238,0.0016238,0.0016238
21,813.924,0.90186,0.63347,0.94587,0.96874,0.98113,0.9913,0.84041,0.70209,0.47864,0.92671,0.001604,0.001604,0.001604
22,861.868,0.85336,0.61522,0.93878,0.99046,0.97932,0.98877,0.86576,0.59861,0.4809,0.91237,0.0015842,0.0015842,0.0015842
23,901.08,0.85417,0.61011,0.93287,0.97156,0.96702,0.99188,0.81404,0.77129,0.55451,0.91843,0.0015644,0.0015644,0.0015644
24,939.408,0.85342,0.60503,0.94047,0.98399,1,0.99491,0.82633,0.66336,0.48396,0.90734,0.0015446,0.0015446,0.0015446
25,978.513,0.87848,0.63552,0.9395,0.94631,0.99764,0.98699,0.81989,0.70978,0.50624,0.93147,0.0015248,0.0015248,0.0015248
26,1018.5,0.82916,0.59273,0.93174,0.96877,1,0.99406,0.85559,0.63676,0.47126,0.89991,0.001505,0.001505,0.001505
27,1060.23,0.84863,0.59742,0.9284,0.95337,1,0.99275,0.78561,0.83283,0.50864,0.92001,0.0014852,0.0014852,0.0014852
28,1101.86,0.81253,0.57279,0.92821,0.98817,1,0.99463,0.85171,0.62889,0.45562,0.91594,0.0014654,0.0014654,0.0014654
29,1143.51,0.82155,0.59297,0.92628,0.99064,0.99877,0.995,0.89246,0.56202,0.42215,0.88875,0.0014456,0.0014456,0.0014456
30,1186.74,0.83203,0.5718,0.93028,0.98706,0.99057,0.98736,0.83338,0.70171,0.49558,0.90989,0.0014258,0.0014258,0.0014258
