epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9429,1.41921,3.07942,1.20034,0.00333,1,0.74387,0.33249,1.21117,3.31251,1.12581,0.00038,0.00038,0.00038
2,19.6921,1.44695,2.26928,1.18822,0.44206,0.7093,0.56695,0.22015,1.40069,3.48582,1.3128,0.000772278,0.000772278,0.000772278
3,27.6355,1.41609,1.97177,1.17366,0.72525,0.36047,0.50482,0.2756,1.59,2.87256,1.42261,0.00115664,0.00115664,0.00115664
4,35.979,1.38916,1.84961,1.18377,0.29711,0.54651,0.36982,0.20439,1.5899,3.0324,1.23654,0.00153307,0.00153307,0.00153307
5,44.1833,1.31434,1.69621,1.11883,0.53667,0.61628,0.55808,0.27193,1.57919,2.82332,1.23252,0.00190159,0.00190159,0.00190159
6,52.0305,1.32714,1.55142,1.14212,0.50814,0.36047,0.40433,0.17556,1.72674,2.89844,1.39086,0.001901,0.001901,0.001901
7,59.5498,1.25335,1.53821,1.08607,0.66252,0.69767,0.70664,0.39062,1.45087,1.74186,1.32594,0.0018812,0.0018812,0.0018812
8,67.0723,1.24303,1.46276,1.08655,0.3734,0.58206,0.46502,0.2202,1.56207,2.33631,1.23364,0.0018614,0.0018614,0.0018614
9,74.7274,1.27909,1.38071,1.10075,0.83351,0.59302,0.72924,0.38472,1.51204,1.7962,1.18866,0.0018416,0.0018416,0.0018416
10,82.3356,1.21588,1.29342,1.06782,0.8136,0.84884,0.89877,0.54752,1.35474,1.26282,1.16133,0.0018218,0.0018218,0.0018218
11,90.0451,1.23952,1.24167,1.08498,0.83582,0.81395,0.90595,0.58233,1.17494,1.2428,1.04282,0.001802,0.001802,0.001802
12,98.1435,1.31998,1.27238,1.10338,0.85871,0.84806,0.94089,0.56159,1.24074,1.3298,1.10016,0.0017822,0.0017822,0.0017822
13,106.406,1.22599,1.19838,1.07463,0.84549,0.80233,0.91947,0.62657,1.06138,1.1857,1.01246,0.0017624,0.0017624,0.0017624
14,114.896,1.16512,1.08549,1.06236,0.79562,0.95349,0.92675,0.60195,1.1296,1.1114,1.05492,0.0017426,0.0017426,0.0017426
15,123.092,1.1562,1.06612,1.0419,0.93648,0.86047,0.96326,0.61054,1.10581,1.25501,1.05519,0.0017228,0.0017228,0.0017228
16,130.627,1.17293,1.0774,1.05927,0.84216,0.87209,0.91383,0.605,1.1017,1.21538,0.9945,0.001703,0.001703,0.001703
17,138.087,1.20101,1.05817,1.06635,0.95102,0.87209,0.97519,0.66239,1.15013,1.06185,1.05735,0.0016832,0.0016832,0.0016832
18,145.606,1.1247,1.00849,1.08507,0.93409,0.86047,0.97433,0.6309,1.09821,1.01266,1.09923,0.0016634,0.0016634,0.0016634
19,153.139,1.08854,0.93342,1.02951,0.893,0.87341,0.95033,0.64508,1.03055,0.92756,0.95903,0.0016436,0.0016436,0.0016436
20,160.579,1.06825,0.95033,1.03039,0.8855,0.9186,0.95485,0.69029,0.93206,0.90642,0.95132,0.0016238,0.0016238,0.0016238
21,168.423,1.07656,0.89482,1.0261,0.97399,0.9186,0.98514,0.74461,0.8953,0.7085,0.94404,0.001604,0.001604,0.001604
22,176.467,1.07894,0.88452,1.02359,0.93914,0.89717,0.97001,0.65564,0.93533,0.78188,0.94218,0.0015842,0.0015842,0.0015842
23,184.398,1.06332,0.86781,1.00027,0.96407,0.94186,0.97617,0.72421,0.84141,0.80447,0.92854,0.0015644,0.0015644,0.0015644
24,192.642,0.99862,0.86752,0.99853,0.98776,0.93812,0.9867,0.75563,0.84455,0.77605,0.95288,0.0015446,0.0015446,0.0015446
25,201.246,1.01477,0.85023,1.00464,0.89185,0.95895,0.98081,0.69149,0.98404,0.9113,1.02394,0.0015248,0.0015248,0.0015248
26,211.553,0.99274,0.81029,0.97509,0.94184,0.94149,0.98165,0.70832,0.9519,0.7038,0.91755,0.001505,0.001505,0.001505
27,221.475,1.05808,0.84015,0.988,0.97644,0.96371,0.98736,0.73245,0.94563,0.66869,0.93055,0.0014852,0.0014852,0.0014852
28,229.89,0.9734,0.78836,0.96892,0.94326,0.96649,0.98702,0.72256,0.90755,0.65855,0.91532,0.0014654,0.0014654,0.0014654
29,238.297,1.02683,0.79919,1.0024,0.91217,0.97674,0.96692,0.72236,0.86486,0.66767,0.90977,0.0014456,0.0014456,0.0014456
30,246.833,0.95881,0.78228,0.97185,0.91575,0.94186,0.98093,0.73386,0.89052,0.66257,0.92922,0.0014258,0.0014258,0.0014258
31,255.423,0.91622,0.74559,0.9725,0.90336,0.97827,0.98226,0.73281,0.89625,0.66554,0.90099,0.001406,0.001406,0.001406
32,263.791,0.93149,0.71189,0.96011,0.93582,0.9186,0.9688,0.70044,0.8796,0.70607,0.90089,0.0013862,0.0013862,0.0013862
33,271.307,0.94246,0.74186,0.96119,0.92754,0.94186,0.98157,0.76106,0.8227,0.6351,0.89423,0.0013664,0.0013664,0.0013664
34,278.743,0.94888,0.72958,0.9467,0.96422,0.97674,0.98942,0.75087,0.77233,0.59085,0.89582,0.0013466,0.0013466,0.0013466
35,286.175,0.90665,0.7109,0.95965,0.97094,0.98837,0.99388,0.76446,0.79359,0.6276,0.89175,0.0013268,0.0013268,0.0013268
36,293.494,0.89766,0.72227,0.95879,0.93376,0.98352,0.97494,0.74065,0.80619,0.5938,0.88357,0.001307,0.001307,0.001307
37,300.75,0.92495,0.7118,0.95657,0.88708,0.91346,0.95924,0.73842,0.80135,0.61298,0.88148,0.0012872,0.0012872,0.0012872
38,308.084,0.87919,0.68365,0.93827,0.94473,0.99379,0.98865,0.74737,0.81555,0.5954,0.90503,0.0012674,0.0012674,0.0012674
39,315.335,0.93856,0.69473,0.96676,0.98323,0.97674,0.99229,0.7947,0.76421,0.56177,0.8855,0.0012476,0.0012476,0.0012476
40,322.552,0.84512,0.64646,0.93523,0.9545,0.97564,0.98992,0.78283,0.80783,0.56148,0.87214,0.0012278,0.0012278,0.0012278
41,329.793,0.846,0.63493,0.94325,0.96587,0.97674,0.99364,0.81818,0.69171,0.54067,0.87129,0.001208,0.001208,0.001208
42,337.104,0.88573,0.65809,0.93782,0.98797,0.95514,0.99099,0.79991,0.73917,0.57282,0.87485,0.0011882,0.0011882,0.0011882
43,344.521,0.83049,0.63035,0.92493,0.96496,0.9607,0.99181,0.80449,0.68646,0.54761,0.87079,0.0011684,0.0011684,0.0011684
44,351.81,0.83334,0.66085,0.91736,0.96623,0.99818,0.99432,0.78385,0.7284,0.54978,0.85859,0.0011486,0.0011486,0.0011486
45,359.177,0.8185,0.63873,0.93578,0.9854,0.97674,0.99083,0.80343,0.68499,0.56368,0.8566,0.0011288,0.0011288,0.0011288
46,366.553,0.85973,0.64737,0.93917,0.98816,0.97076,0.99244,0.80442,0.66443,0.51804,0.86731,0.001109,0.001109,0.001109
47,373.936,0.89972,0.678,0.93424,0.96227,0.95349,0.98585,0.79645,0.69663,0.53801,0.87599,0.0010892,0.0010892,0.0010892
48,381.277,0.80966,0.61688,0.9288,0.96999,0.97674,0.99144,0.77895,0.77084,0.55009,0.86194,0.0010694,0.0010694,0.0010694
49,388.77,0.86028,0.64006,0.9353,0.96607,0.99318,0.99208,0.78335,0.7715,0.55671,0.8577,0.0010496,0.0010496,0.0010496
50,396.276,0.86028,0.63126,0.92322,0.96465,1,0.99157,0.78837,0.72595,0.51327,0.84743,0.0010298,0.0010298,0.0010298
51,403.979,0.88253,0.64535,0.94183,0.9448,0.99516,0.99144,0.7913,0.74944,0.51157,0.84639,0.00101,0.00101,0.00101
52,411.697,0.821,0.61507,0.91974,0.97659,0.97028,0.99398,0.83413,0.66042,0.49682,0.8442,0.0009902,0.0009902,0.0009902
53,419.75,0.76971,0.59278,0.90635,0.98822,0.97549,0.99367,0.80055,0.71498,0.56498,0.84702,0.0009704,0.0009704,0.0009704
54,427.745,0.812,0.59695,0.91536,0.98701,0.97674,0.99362,0.80766,0.73188,0.51207,0.86145,0.0009506,0.0009506,0.0009506
55,435.627,0.76683,0.57986,0.91265,0.97719,0.99636,0.99455,0.82706,0.62741,0.51409,0.83062,0.0009308,0.0009308,0.0009308
56,443.23,0.77379,0.59332,0.907,0.98684,0.97674,0.99328,0.83611,0.64505,0.49539,0.83043,0.000911,0.000911,0.000911
57,450.816,0.7777,0.56465,0.90992,0.98688,0.97674,0.99322,0.82622,0.62638,0.46164,0.83493,0.0008912,0.0008912,0.0008912
58,458.676,0.74754,0.56859,0.90366,1,0.98647,0.99489,0.79659,0.70764,0.50755,0.84876,0.0008714,0.0008714,0.0008714
59,466.782,0.73477,0.56146,0.91176,0.97602,1,0.99431,0.83875,0.60218,0.46145,0.83586,0.0008516,0.0008516,0.0008516
60,474.781,0.70367,0.55425,0.89872,0.97685,0.98127,0.99362,0.85059,0.55287,0.4694,0.83762,0.0008318,0.0008318,0.0008318
61,482.733,0.75444,0.58869,0.90398,0.99856,0.97674,0.99443,0.84389,0.59311,0.45589,0.84028,0.000812,0.000812,0.000812
62,490.845,0.81218,0.56911,0.89541,0.97718,0.99602,0.99454,0.83758,0.62905,0.47589,0.84346,0.0007922,0.0007922,0.0007922
63,499.329,0.76243,0.57525,0.90171,0.98655,1,0.99489,0.84023,0.59697,0.44852,0.82633,0.0007724,0.0007724,0.0007724
64,508.132,0.70806,0.53885,0.89542,0.98842,0.99222,0.99489,0.838,0.58302,0.44268,0.8294,0.0007526,0.0007526,0.0007526
65,517.001,0.75048,0.54532,0.91545,0.99436,1,0.995,0.8512,0.62064,0.42834,0.82894,0.0007328,0.0007328,0.0007328
66,526.044,0.72522,0.54362,0.88589,0.99932,0.97674,0.99422,0.82712,0.64286,0.48099,0.84289,0.000713,0.000713,0.000713
67,535.227,0.74434,0.56832,0.89248,0.97387,1,0.99454,0.86108,0.5465,0.42983,0.83108,0.0006932,0.0006932,0.0006932
68,544.587,0.70159,0.54713,0.90736,0.98817,0.97119,0.99229,0.84489,0.62471,0.45747,0.84476,0.0006734,0.0006734,0.0006734
69,553.844,0.7214,0.55901,0.90349,0.98846,0.99573,0.99466,0.85339,0.54974,0.43924,0.82989,0.0006536,0.0006536,0.0006536
70,562.856,0.69491,0.52126,0.88827,0.98845,0.99495,0.99477,0.84043,0.631,0.45476,0.82009,0.0006338,0.0006338,0.0006338
71,571.686,0.72898,0.52266,0.89957,0.96584,0.98645,0.99362,0.85971,0.57496,0.45093,0.8066,0.000614,0.000614,0.000614
72,580.192,0.6935,0.54636,0.88361,0.99685,0.97674,0.99282,0.85895,0.58502,0.46223,0.80285,0.0005942,0.0005942,0.0005942
73,588.926,0.68903,0.53729,0.89148,0.98848,0.99756,0.99362,0.82288,0.61182,0.47042,0.80862,0.0005744,0.0005744,0.0005744
74,597.955,0.69811,0.53215,0.89791,0.98833,0.98504,0.99374,0.85288,0.57989,0.44651,0.81418,0.0005546,0.0005546,0.0005546
75,606.804,0.71395,0.52638,0.89413,0.98672,0.98837,0.99433,0.84998,0.6178,0.43657,0.83166,0.0005348,0.0005348,0.0005348
76,615.511,0.69745,0.53527,0.89837,0.9981,0.98837,0.99489,0.86426,0.56883,0.43717,0.81851,0.000515,0.000515,0.000515
77,624.135,0.67648,0.51593,0.89184,0.98628,0.98837,0.99443,0.84544,0.57857,0.43226,0.81422,0.0004952,0.0004952,0.0004952
78,632.475,0.6905,0.49742,0.89406,0.97724,0.99867,0.99466,0.86541,0.53448,0.44168,0.81072,0.0004754,0.0004754,0.0004754
79,640.899,0.65514,0.50071,0.8831,0.98742,1,0.99477,0.85496,0.55988,0.43661,0.81195,0.0004556,0.0004556,0.0004556
80,649.506,0.6707,0.50256,0.89028,0.98665,1,0.99466,0.87776,0.49254,0.42824,0.81045,0.0004358,0.0004358,0.0004358
81,657.785,0.64802,0.5029,0.87624,0.99832,1,0.995,0.81474,0.67899,0.4456,0.81904,0.000416,0.000416,0.000416
82,666.095,0.66152,0.50099,0.88441,0.96915,1,0.99455,0.87368,0.52416,0.41213,0.81504,0.0003962,0.0003962,0.0003962
83,674.813,0.67568,0.51048,0.89109,0.98848,0.99765,0.99477,0.84731,0.61418,0.45176,0.81304,0.0003764,0.0003764,0.0003764
84,683.388,0.65334,0.50047,0.8857,1,0.99313,0.995,0.84433,0.57548,0.46396,0.82019,0.0003566,0.0003566,0.0003566
85,692.533,0.63387,0.49113,0.88975,0.98665,0.97674,0.99421,0.84871,0.59735,0.44283,0.81197,0.0003368,0.0003368,0.0003368
86,701.858,0.62908,0.47163,0.88214,0.99776,0.97674,0.99466,0.87219,0.51797,0.42282,0.80415,0.000317,0.000317,0.000317
87,711.248,0.64536,0.47261,0.88033,1,0.98667,0.99489,0.87527,0.48578,0.39759,0.80654,0.0002972,0.0002972,0.0002972
88,720.624,0.62902,0.46688,0.88621,0.9984,0.97674,0.99443,0.86353,0.55076,0.40189,0.81236,0.0002774,0.0002774,0.0002774
89,730.193,0.57782,0.46758,0.88481,1,0.99847,0.995,0.88009,0.50339,0.39581,0.803,0.0002576,0.0002576,0.0002576
90,739.365,0.62921,0.49,0.88536,1,0.98699,0.99489,0.8879,0.4915,0.39508,0.80153,0.0002378,0.0002378,0.0002378
91,747.886,0.55393,0.43904,0.85044,1,0.99547,0.995,0.88214,0.50024,0.37686,0.81153,0.000218,0.000218,0.000218
92,755.525,0.56887,0.44554,0.85195,0.99928,1,0.995,0.87521,0.48598,0.36213,0.79956,0.0001982,0.0001982,0.0001982
93,763.157,0.53561,0.41486,0.84616,0.99999,1,0.995,0.8816,0.47364,0.37968,0.79996,0.0001784,0.0001784,0.0001784
94,771.115,0.54721,0.42318,0.85441,0.99878,1,0.995,0.8757,0.46479,0.36015,0.80819,0.0001586,0.0001586,0.0001586
95,778.758,0.54103,0.42886,0.83752,0.98577,1,0.99477,0.87291,0.48369,0.37037,0.80267,0.0001388,0.0001388,0.0001388
96,786.331,0.52466,0.43147,0.83895,0.99905,1,0.995,0.86824,0.47116,0.37609,0.80014,0.000119,0.000119,0.000119
97,793.931,0.50017,0.41589,0.83279,1,0.99751,0.995,0.884,0.46005,0.37005,0.80133,9.92e-05,9.92e-05,9.92e-05
98,801.664,0.47798,0.40185,0.83763,1,0.99827,0.995,0.88158,0.48054,0.36622,0.80065,7.94e-05,7.94e-05,7.94e-05
99,809.202,0.50566,0.40736,0.8401,0.98822,1,0.99466,0.88765,0.46597,0.36759,0.79953,5.96e-05,5.96e-05,5.96e-05
100,816.92,0.48472,0.40098,0.83344,0.98823,1,0.99489,0.88799,0.44881,0.35721,0.7993,3.98e-05,3.98e-05,3.98e-05
