epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.9165,1.23157,3.86281,1.30501,0.00316,0.35484,0.19094,0.16944,0.58757,3.46333,0.7748,0.00011432,0.00011432,0.00011432
2,9.8753,1.00481,2.99564,1.04244,0.00244,0.33333,0.33167,0.29906,0.59663,3.38226,0.73551,0.000240525,0.000240525,0.000240525
3,12.2911,0.92934,2.23835,1.01028,0.00266,0.34409,0.33197,0.28276,0.6655,3.34221,0.77507,0.000364184,0.000364184,0.000364184
4,14.8597,0.89335,1.55423,0.99511,0.00386,0.4086,0.33372,0.28631,0.70936,3.21276,0.77943,0.000485296,0.000485296,0.000485296
5,17.2453,0.8875,1.32998,1.02816,0.00371,0.34409,0.32749,0.23503,0.82908,3.31492,0.85349,0.000603861,0.000603861,0.000603861
6,19.5005,0.82803,1.18629,0.97943,1,0.16223,0.32839,0.28437,0.70961,3.18354,0.81396,0.00071988,0.00071988,0.00071988
7,21.8732,0.83076,1.11861,0.98331,1,0.22504,0.29925,0.24391,0.86101,3.06108,0.96484,0.000833353,0.000833353,0.000833353
8,24.2137,0.78461,1.05826,0.97352,0.8566,0.1828,0.22559,0.17315,0.79239,2.93639,0.94535,0.000944279,0.000944279,0.000944279
9,26.6332,0.77188,1.04199,0.98221,0.98777,0.33333,0.78109,0.66908,0.6422,2.18624,0.7899,0.00105266,0.00105266,0.00105266
10,28.7077,0.74127,0.98282,0.94104,0.86734,0.35758,0.89429,0.72612,0.75988,1.99685,0.83661,0.00115849,0.00115849,0.00115849
11,30.8929,0.78886,0.98724,0.95815,0.80817,0.43417,0.95474,0.761,0.72723,1.9541,0.81393,0.00126178,0.00126178,0.00126178
12,33.0895,0.76776,0.9452,0.94818,0.76559,0.75825,0.98956,0.75852,0.78939,1.65933,0.93341,0.00127338,0.00127338,0.00127338
13,35.0569,0.80205,0.94838,0.96703,0.83516,0.85386,0.99437,0.79979,0.63703,1.31629,0.79515,0.00125923,0.00125923,0.00125923
14,37.3719,0.76116,0.93198,0.94653,0.84192,0.88153,0.99292,0.82838,0.62966,1.16487,0.78787,0.00124509,0.00124509,0.00124509
15,39.5715,0.80549,0.91192,0.96233,0.8748,0.88902,0.98825,0.82168,0.6109,1.24786,0.78139,0.00123094,0.00123094,0.00123094
16,41.7719,0.74511,0.86106,0.91703,0.87924,0.93914,0.98543,0.8136,0.6074,1.03044,0.77141,0.00121679,0.00121679,0.00121679
17,43.8822,0.7645,0.89519,0.93941,0.80304,0.91331,0.9593,0.78904,0.69811,1.07264,0.82829,0.00120265,0.00120265,0.00120265
18,45.9673,0.75879,0.87372,0.96335,0.90804,0.88728,0.99204,0.83044,0.55092,0.82851,0.7694,0.0011885,0.0011885,0.0011885
19,48.3676,0.70087,0.81639,0.92915,0.9465,0.94539,0.99469,0.82672,0.56186,0.6979,0.77192,0.00117435,0.00117435,0.00117435
20,50.5573,0.68232,0.79098,0.92254,0.96119,0.9869,0.995,0.84306,0.54448,0.67679,0.76822,0.00116021,0.00116021,0.00116021
21,52.7779,0.72922,0.79229,0.94477,0.96268,0.99589,0.995,0.84753,0.55378,0.65749,0.77291,0.00114606,0.00114606,0.00114606
22,54.9264,0.67674,0.76152,0.91097,0.97545,0.99609,0.995,0.86709,0.56199,0.66016,0.7663,0.00113191,0.00113191,0.00113191
23,57.0814,0.7201,0.80605,0.95075,0.95676,0.99089,0.995,0.85545,0.5256,0.6268,0.75726,0.00111776,0.00111776,0.00111776
24,59.3998,0.69243,0.72241,0.903,0.94552,0.98465,0.995,0.85513,0.49403,0.60392,0.75456,0.00110362,0.00110362,0.00110362
25,61.4277,0.66174,0.72248,0.91852,0.95053,0.98925,0.99469,0.87659,0.51223,0.61519,0.75105,0.00108947,0.00108947,0.00108947
26,63.3209,0.64803,0.74687,0.92274,0.94182,0.97454,0.99177,0.8534,0.56465,0.66167,0.76933,0.00107532,0.00107532,0.00107532
27,65.6338,0.6834,0.74308,0.93799,0.98497,0.99749,0.995,0.84025,0.57297,0.623,0.77488,0.00106118,0.00106118,0.00106118
28,67.7847,0.68947,0.74414,0.92305,0.97789,1,0.995,0.86107,0.52417,0.59035,0.7747,0.00104703,0.00104703,0.00104703
29,69.8858,0.65391,0.72419,0.91614,0.97127,0.99395,0.995,0.86575,0.5532,0.62802,0.78137,0.00103288,0.00103288,0.00103288
30,72.0284,0.68617,0.75583,0.96383,0.96303,1,0.995,0.85717,0.55381,0.60995,0.77595,0.00101873,0.00101873,0.00101873
31,74.0808,0.65551,0.71101,0.91658,0.98397,0.99903,0.99469,0.85172,0.58167,0.574,0.79699,0.00100459,0.00100459,0.00100459
32,76.2931,0.64024,0.69844,0.92107,0.99364,1,0.995,0.85472,0.70435,0.5789,0.92249,0.00099044,0.00099044,0.00099044
33,78.5446,0.64288,0.67601,0.91835,0.99027,1,0.995,0.87108,0.51895,0.57106,0.78549,0.000976293,0.000976293,0.000976293
34,80.5632,0.6165,0.64754,0.90455,0.9915,1,0.995,0.88469,0.46651,0.52491,0.76077,0.000962146,0.000962146,0.000962146
35,82.6869,0.6372,0.66342,0.90588,0.97589,0.99831,0.995,0.85986,0.51195,0.5451,0.76175,0.000947999,0.000947999,0.000947999
36,84.9645,0.63786,0.67092,0.90111,0.98363,1,0.995,0.86771,0.50507,0.49744,0.76025,0.000933851,0.000933851,0.000933851
37,87.2039,0.62813,0.65089,0.92388,0.98746,1,0.995,0.84686,0.50831,0.49258,0.75392,0.000919704,0.000919704,0.000919704
38,89.5045,0.63872,0.63103,0.90004,0.98565,0.99852,0.995,0.88329,0.45301,0.47123,0.74271,0.000905557,0.000905557,0.000905557
39,92.1158,0.60825,0.60397,0.87812,0.98409,0.99838,0.995,0.88537,0.44597,0.48464,0.74244,0.00089141,0.00089141,0.00089141
40,94.7697,0.60839,0.62128,0.8943,0.98754,0.99943,0.995,0.89429,0.44898,0.47926,0.74514,0.000877263,0.000877263,0.000877263
41,96.8031,0.61751,0.62222,0.93038,0.99458,1,0.995,0.89897,0.41924,0.44613,0.73803,0.000863116,0.000863116,0.000863116
42,98.7251,0.54043,0.61823,0.9085,0.98771,1,0.995,0.88542,0.48683,0.49716,0.75763,0.000848969,0.000848969,0.000848969
43,100.627,0.58669,0.60287,0.88174,0.9677,0.99537,0.995,0.88485,0.53183,0.536,0.76326,0.000834822,0.000834822,0.000834822
44,102.443,0.56355,0.58579,0.89492,0.97817,0.99557,0.995,0.88052,0.52888,0.52951,0.75953,0.000820675,0.000820675,0.000820675
45,104.373,0.59568,0.59905,0.88002,0.9912,1,0.995,0.86787,0.54909,0.48326,0.756,0.000806528,0.000806528,0.000806528
46,106.237,0.58062,0.59701,0.8985,0.97636,1,0.995,0.88957,0.47627,0.46404,0.74426,0.00079238,0.00079238,0.00079238
47,108.167,0.56692,0.5837,0.89649,0.98261,1,0.995,0.8742,0.52108,0.45094,0.75448,0.000778233,0.000778233,0.000778233
48,110.034,0.52536,0.54035,0.87919,0.99305,1,0.995,0.8916,0.45926,0.41017,0.74369,0.000764086,0.000764086,0.000764086
49,111.844,0.56957,0.56094,0.88149,0.99509,1,0.995,0.89263,0.4371,0.38014,0.73775,0.000749939,0.000749939,0.000749939
50,113.764,0.60234,0.57626,0.91426,0.99307,1,0.995,0.88662,0.42976,0.39498,0.73475,0.000735792,0.000735792,0.000735792
51,115.684,0.58006,0.55854,0.88324,0.98894,0.99907,0.995,0.89647,0.46937,0.42547,0.74803,0.000721645,0.000721645,0.000721645
52,117.587,0.56002,0.54319,0.86972,0.99468,1,0.995,0.88138,0.48411,0.42898,0.74908,0.000707498,0.000707498,0.000707498
53,119.417,0.56258,0.54117,0.90256,0.99743,1,0.995,0.88193,0.46599,0.39802,0.74515,0.000693351,0.000693351,0.000693351
54,121.178,0.53656,0.51964,0.86673,0.99702,1,0.995,0.88646,0.42956,0.37098,0.74322,0.000679204,0.000679204,0.000679204
55,123.016,0.56232,0.52313,0.88275,0.99448,1,0.995,0.87983,0.43452,0.37264,0.73982,0.000665057,0.000665057,0.000665057
56,124.861,0.55544,0.51579,0.87556,0.99387,1,0.995,0.89252,0.43507,0.37829,0.73607,0.000650909,0.000650909,0.000650909
57,126.697,0.55342,0.54744,0.88784,0.99453,1,0.995,0.87087,0.47687,0.38265,0.73878,0.000636762,0.000636762,0.000636762
58,128.621,0.56236,0.51221,0.8973,0.99665,1,0.995,0.8803,0.44755,0.37773,0.7363,0.000622615,0.000622615,0.000622615
59,130.436,0.55999,0.53362,0.89887,0.99721,1,0.995,0.88306,0.44802,0.39127,0.73444,0.000608468,0.000608468,0.000608468
60,132.304,0.54972,0.50307,0.86696,0.9965,1,0.995,0.87568,0.47582,0.38556,0.73385,0.000594321,0.000594321,0.000594321
61,134.183,0.55225,0.51447,0.87954,0.9962,1,0.995,0.88301,0.46251,0.38316,0.7356,0.000580174,0.000580174,0.000580174
62,135.992,0.51023,0.50395,0.87562,0.99649,1,0.995,0.88172,0.43202,0.35912,0.73094,0.000566027,0.000566027,0.000566027
63,137.95,0.53398,0.49882,0.87479,0.9957,1,0.995,0.90342,0.41035,0.35937,0.72673,0.00055188,0.00055188,0.00055188
64,139.792,0.51754,0.51628,0.88641,0.99451,1,0.995,0.90403,0.40823,0.35648,0.72654,0.000537733,0.000537733,0.000537733
65,141.649,0.52907,0.4893,0.87385,0.99376,1,0.995,0.9078,0.40233,0.34801,0.72725,0.000523586,0.000523586,0.000523586
66,143.541,0.5268,0.48778,0.87629,0.99529,1,0.995,0.90057,0.39283,0.33887,0.72545,0.000509438,0.000509438,0.000509438
67,145.407,0.50345,0.46861,0.8704,0.99651,1,0.995,0.89737,0.40088,0.34576,0.7278,0.000495291,0.000495291,0.000495291
68,147.287,0.5339,0.48145,0.8941,0.99752,1,0.995,0.90316,0.42184,0.34872,0.73025,0.000481144,0.000481144,0.000481144
69,149.098,0.53231,0.4823,0.89722,0.99768,1,0.995,0.90318,0.42328,0.35601,0.72928,0.000466997,0.000466997,0.000466997
70,150.952,0.50077,0.46092,0.86112,0.99708,1,0.995,0.91222,0.41577,0.36329,0.72758,0.00045285,0.00045285,0.00045285
71,152.804,0.49908,0.46034,0.89029,0.99708,1,0.995,0.91373,0.4093,0.36445,0.72954,0.000438703,0.000438703,0.000438703
72,154.615,0.4867,0.455,0.86345,0.99698,1,0.995,0.90963,0.39331,0.3571,0.72592,0.000424556,0.000424556,0.000424556
73,156.541,0.50142,0.47393,0.89094,0.99552,1,0.995,0.90143,0.40491,0.35182,0.72376,0.000410409,0.000410409,0.000410409
74,158.447,0.49771,0.46829,0.88109,0.99539,1,0.995,0.89966,0.40452,0.34983,0.72347,0.000396262,0.000396262,0.000396262
75,160.326,0.48627,0.46173,0.88213,0.99644,1,0.995,0.90817,0.40509,0.33369,0.72812,0.000382115,0.000382115,0.000382115
