epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.21438,1.10695,3.76751,1.3163,0.0055,0.83333,0.19258,0.12679,0.86894,3.55156,1.19087,0.00011669,0.00011669,0.00011669
2,8.87397,0.84388,2.74894,1.03388,0.00682,1,0.47496,0.37343,0.56614,3.12718,0.78632,0.000247575,0.000247575,0.000247575
3,12.3461,0.87718,1.64959,1.03327,0.00672,1,0.4972,0.39128,0.56731,3.02312,0.78144,0.000375818,0.000375818,0.000375818
4,15.6994,0.78262,1.35208,1.00631,0.00658,0.98333,0.43759,0.35128,0.73845,3.23049,0.9529,0.000501422,0.000501422,0.000501422
5,18.9209,0.76589,1.24359,0.99756,0.00671,1,0.37039,0.27674,0.74869,3.22527,1.01114,0.000624385,0.000624385,0.000624385
6,22.0218,0.80336,1.23166,0.98635,0.00598,0.9,0.44919,0.35654,0.6014,3.04612,0.81386,0.000744707,0.000744707,0.000744707
7,25.0452,0.75442,1.06853,0.951,0.72124,0.48333,0.47521,0.37348,0.55799,2.97269,0.81775,0.000862389,0.000862389,0.000862389
8,28.0151,0.70624,1.06706,0.93053,1,0.39536,0.49463,0.40139,0.65969,2.69267,0.8232,0.00097743,0.00097743,0.00097743
9,31.0772,0.72935,1.04426,0.95784,0.97674,0.48333,0.60949,0.46791,0.63696,2.53075,0.84007,0.00108983,0.00108983,0.00108983
10,34.0525,0.73991,1.05918,0.957,0.97808,0.5,0.94896,0.75897,0.72994,2.3281,0.89193,0.00119959,0.00119959,0.00119959
11,37.0665,0.69801,0.99209,0.93464,0.96121,0.45,0.95131,0.7936,0.59706,2.24838,0.85367,0.00130671,0.00130671,0.00130671
12,40.1251,0.665,0.95008,0.93189,0.98389,0.5,0.995,0.84757,0.70075,1.90742,0.8978,0.00141119,0.00141119,0.00141119
13,43.1342,0.7104,0.97395,0.9502,0.98073,0.5,0.99129,0.84117,0.67507,1.87318,0.87144,0.00146896,0.00146896,0.00146896
14,46.1152,0.72807,0.98033,0.94751,0.84993,0.90675,0.99452,0.85647,0.70612,1.41409,0.90281,0.00145246,0.00145246,0.00145246
15,49.1333,0.69727,0.88527,0.94821,0.87582,0.92502,0.995,0.85026,0.66871,1.31317,0.88633,0.00143595,0.00143595,0.00143595
16,52.1003,0.71319,0.96193,0.94853,0.95479,1,0.995,0.8539,0.66108,1.07037,0.89609,0.00141945,0.00141945,0.00141945
17,55.0917,0.67082,0.85667,0.93196,0.97798,0.99437,0.995,0.86019,0.57203,0.86622,0.83759,0.00140295,0.00140295,0.00140295
18,58.1057,0.65039,0.83718,0.94501,0.97876,1,0.995,0.81653,0.68952,0.86488,0.86132,0.00138644,0.00138644,0.00138644
19,61.0483,0.65295,0.86651,0.96099,0.97876,0.99786,0.99452,0.86277,0.59086,0.75596,0.84865,0.00136994,0.00136994,0.00136994
20,63.998,0.62789,0.79626,0.91399,0.99344,1,0.995,0.86402,0.64569,0.66811,0.87203,0.00135344,0.00135344,0.00135344
21,66.9998,0.64591,0.85315,0.9473,0.98034,0.96667,0.98877,0.84022,0.61737,0.73847,0.87668,0.00133693,0.00133693,0.00133693
22,69.903,0.65857,0.83122,0.9436,0.98152,0.98333,0.99134,0.86239,0.55942,0.69171,0.84348,0.00132043,0.00132043,0.00132043
23,72.8764,0.65112,0.80644,0.91754,0.9916,1,0.995,0.86466,0.53712,0.58945,0.83119,0.00130393,0.00130393,0.00130393
24,75.8658,0.65895,0.77477,0.9328,0.97954,1,0.99403,0.85693,0.55186,0.6526,0.83931,0.00128742,0.00128742,0.00128742
25,78.8635,0.62293,0.73824,0.90388,0.96511,1,0.98781,0.85066,0.4828,0.694,0.82294,0.00127092,0.00127092,0.00127092
26,81.9132,0.6176,0.75718,0.93094,0.99343,1,0.995,0.88798,0.45354,0.60805,0.80547,0.00125442,0.00125442,0.00125442
27,84.8155,0.63067,0.73129,0.93047,0.99247,1,0.995,0.90716,0.50373,0.6088,0.82304,0.00123791,0.00123791,0.00123791
28,87.7843,0.63498,0.76128,0.94671,0.99223,1,0.995,0.90508,0.51515,0.59618,0.82365,0.00122141,0.00122141,0.00122141
29,90.779,0.58726,0.69236,0.90165,0.99228,1,0.995,0.90151,0.4895,0.545,0.82083,0.00120491,0.00120491,0.00120491
30,93.7822,0.61986,0.70532,0.92638,0.99527,1,0.995,0.88364,0.56166,0.51455,0.83306,0.0011884,0.0011884,0.0011884
